,.id,synsetOffset,lexFilenum,lexFileName,pos,posName,wCnt,words,pCnt,pointers,frames,gloss
52,adj,00001740,00,all adjective clusters,a,Adjective,1,able 0,5,= 05200169 n 0000 = 05616246 n 0000 + 05616246 n 0101 + 05200169 n 0101 ! 00002098 a 0101,NA,(usually followed by `to') having the necessary means or skill or know-how or authority to do something; "able to swim"; "she was able to program her computer"; "we were at last able to buy a car"; "able to get a grant for the project"  
53,adj,00002098,00,all adjective clusters,a,Adjective,1,unable 0,2,= 05200169 n 0000 ! 00001740 a 0101,NA,(usually followed by `to') not having the necessary means or skill or know-how; "unable to get to town without a car"; "unable to obtain funds"  
54,adj,00002312,00,all adjective clusters,a,Adjective,2,abaxial 0 dorsal 4,2,;c 06037666 n 0000 ! 00002527 a 0101,NA,facing away from the axis of an organ or organism; "the abaxial surface of a leaf is the underside or side facing away from the stem"  
55,adj,00002527,00,all adjective clusters,a,Adjective,2,adaxial 0 ventral 4,2,;c 06037666 n 0000 ! 00002312 a 0101,NA,nearest to or facing toward the axis of an organ or organism; "the upper side of a leaf is known as the adaxial surface"  
56,adj,00002730,00,all adjective clusters,a,Adjective,1,acroscopic 0,2,;c 06066555 n 0000 ! 00002843 a 0101,NA,facing or on the side toward the apex  
57,adj,00002843,00,all adjective clusters,a,Adjective,1,basiscopic 0,2,;c 06066555 n 0000 ! 00002730 a 0101,NA,facing or on the side toward the base  
58,adj,00002956,00,all adjective clusters,a,Adjective,2,abducent 0 abducting 0,2,;c 06080522 n 0000 ! 00003131 a 0101,NA,especially of muscles; drawing away from the midline of the body or from an adjacent part  
59,adj,00003131,00,all adjective clusters,a,Adjective,3,adducent 0 adductive 0 adducting 0,3,;c 06080522 n 0000 + 01449236 v 0201 ! 00002956 a 0101,NA,especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part  
60,adj,00003356,00,all adjective clusters,a,Adjective,1,nascent 0,5,+ 07320302 n 0103 ! 00003939 a 0101 & 00003553 a 0000 & 00003700 a 0000 & 00003829 a 0000,NA, being born or beginning; "the nascent chicks"; "a nascent insurgency"   
61,adj,00003939,00,all adjective clusters,a,Adjective,1,dying 0,3,! 00003356 a 0101 & 00004171 a 0000 & 00004296 a 0000,NA,in or associated with the process of passing from life or ceasing to be; "a dying man"; "his dying wish"; "a dying fire"; "a dying civilization"  
62,adj,00004413,00,all adjective clusters,a,Adjective,1,abridged 0,5,^ 01442186 a 0000 ! 00004980 a 0101 & 00004615 a 0000 & 00004723 a 0000 & 00004817 a 0000,NA,(used of texts) shortened by condensing or rewriting; "an abridged version"  
63,adj,00004980,00,all adjective clusters,a,Adjective,1,unabridged 0,2,! 00004413 a 0101 & 00005107 a 0000,NA,(used of texts) not shortened; "an unabridged novel"  
64,adj,00005205,00,all adjective clusters,a,Adjective,1,absolute 0,7,+ 05854474 n 0101 + 04738398 n 0101 ! 00006032 a 0101 & 00005473 a 0000 & 00005599 a 0000 & 00005718 a 0000 & 00005839 a 0000,NA,perfect or complete or pure; "absolute loyalty"; "absolute silence"; "absolute truth"; "absolute alcohol"  
65,adj,00006032,00,all adjective clusters,a,Adjective,2,relative 0 comparative 0,5,+ 00653620 v 0201 + 00652900 v 0201 + 05212609 n 0101 ! 00005205 a 0101 & 00006245 a 0000,NA,estimated by comparison; not absolute or complete; "a relative stranger"  
66,adj,00006336,00,all adjective clusters,a,Adjective,2,absorbent 0 absorptive 0,15,= 04940964 n 0000 + 02765464 v 0201 + 01539633 v 0201 + 05010062 n 0201 + 04940964 n 0101 + 02765464 v 0101 + 01539633 v 0101 ! 00007813 a 0101 & 00006777 a 0000 & 00006885 a 0000 & 00007096 a 0000 & 00007208 a 0000 & 00007331 a 0000 & 00007516 a 0000 & 00007697 a 0000,NA,having power or capacity or tendency to absorb or soak up something (liquids or energy etc.); "as absorbent as a sponge"  
67,adj,00007813,00,all adjective clusters,a,Adjective,2,nonabsorbent 0 nonabsorptive 0,4,= 04940964 n 0000 + 04942738 n 0101 ! 00006336 a 0101 & 00007990 a 0000,NA,not capable of absorbing or soaking up (liquids)  
